wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio
2025-11-16 11:51:15	0.983	0.860	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:16	1.983	8.411	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:17	2.983	14.739	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:18	3.983	18.769	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:19	4.983	20.407	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:20	5.983	24.099	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:21	6.983	27.123	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:22	7.983	32.982	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:23	8.983	38.783	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:24	9.983	46.141	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:25	10.983	51.112	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:26	11.983	55.536	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:27	12.983	59.197	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:28	13.983	62.633	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:29	14.983	68.144	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:30	15.983	72.227	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:31	16.983	74.752	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:32	17.983	78.970	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:33	18.983	72.189	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:34	19.983	77.193	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:35	20.983	68.832	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:36	21.983	63.670	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:37	22.983	67.854	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:38	23.983	65.655	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:39	24.983	61.077	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:40	25.983	57.643	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:41	26.983	53.041	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:42	27.983	48.511	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:43	28.983	42.103	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:44	29.983	40.375	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:45	30.983	39.847	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:46	31.983	42.370	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:47	32.983	42.209	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:48	33.983	42.973	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:49	34.983	42.484	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:50	35.983	37.493	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:51	36.983	37.361	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:52	37.983	37.900	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:53	38.983	37.207	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:54	39.983	40.754	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:51:55	40.983	43.298	1	0.000	0	3	1	0.484	0.000	0.000	0.000
2025-11-16 11:51:56	41.983	35.519	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:51:57	42.983	32.040	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:51:58	43.983	29.122	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:51:59	44.983	24.431	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:00	45.983	22.516	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:01	46.983	21.831	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:02	47.983	22.496	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:03	48.983	20.620	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:04	49.983	20.427	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:05	50.983	21.508	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:06	51.983	20.307	1	0.000	0	3	1	1.000	0.000	0.000	0.000
2025-11-16 11:52:07	52.983	20.670	1	0.000	3	3	1	1.000	0.151	0.159	0.109
2025-11-16 11:52:08	53.983	26.748	1	0.000	0	3	1	0.690	0.290	0.158	0.163
2025-11-16 11:52:09	54.983	34.288	1	0.000	0	3	1	0.018	0.013	0.000	0.005
2025-11-16 11:52:10	55.983	41.423	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:11	56.983	48.934	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:12	57.983	51.262	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:13	58.983	53.821	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:14	59.983	57.313	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:15	60.983	57.681	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:16	61.983	65.493	1	0.000	0	3	1	0.000	0.000	0.000	0.000
2025-11-16 11:52:17	62.983	73.838	1	0.000	0	3	1	0.011	0.000	0.011	0.000
2025-11-16 11:52:18	63.983	76.956	1	0.000	0	3	1	0.030	0.000	0.030	0.000
2025-11-16 11:52:19	64.983	86.040	1	0.067	1	3	1	0.037	0.000	0.030	0.005
2025-11-16 11:52:20	65.983	97.305	0	0.767	0	3	1	0.068	0.000	0.046	0.014
2025-11-16 11:52:21	66.983	111.591	0	1.000	0	3	1	0.063	0.000	0.026	0.027
2025-11-16 11:52:22	67.983	109.224	0	1.000	0	3	1	0.072	0.000	0.036	0.017
